"Year/City","Type of Dispensaries - Allopathic","Type of Dispensaries - AYUSH","Beneficiaries - Total No. of Cards","Beneficiaries - Total No. of beneficiaries"
2001.0,241.0,79.0,1003537.0,4354410.0
2002.0,244.0,79.0,1045024.0,4385271.0
2003.0,244.0,79.0,1041942.0,4457911.0
2004.0,247.0,86.0,1066251.0,4558794.0
2005.0,246.0,85.0,1032350.0,4285662.0
2006.0,244.0,85.0,911447.0,3301264.0
2007.0,247.0,85.0,900335.0,3411365.0
2008.0,247.0,88.0,857872.0,3209804.0
2009.0,246.0,86.0,934825.0,3181719.0
2010.0,246.0,85.0,847081.0,3152781.0
2011.0,246.0,85.0,806485.0,2580674.0
